date,totalTokens,totalGrowthIndex,labs
2026-06-20,1419544590190,81.11928032384603,"[{'lab': 'anthropic', 'totalTokens': 676917130950, 'growthIndex': 79.57054758946352, 'share': 0.4768551376462204}, {'lab': 'openai', 'totalTokens': 347501527411, 'growthIndex': 110.42942515467485, 'share': 0.2447978949111337}, {'lab': 'google', 'totalTokens': 395125931829, 'growthIndex': 67.59465430180983, 'share': 0.27834696744264587}]"
2026-06-21,1385137443775,79.15309837051377,"[{'lab': 'anthropic', 'totalTokens': 655508491624, 'growthIndex': 77.0539955974576, 'share': 0.473244366160157}, {'lab': 'openai', 'totalTokens': 300055878768, 'growthIndex': 95.35209371163809, 'share': 0.21662534654340102}, {'lab': 'google', 'totalTokens': 429573073383, 'growthIndex': 73.48756701004439, 'share': 0.310130287296442}]"
2026-06-22,1968627020853,112.4963655677051,"[{'lab': 'anthropic', 'totalTokens': 1001843282342, 'growthIndex': 117.76510732251906, 'share': 0.5089045673608119}, {'lab': 'openai', 'totalTokens': 431466547361, 'growthIndex': 137.1119233734893, 'share': 0.219171302024518}, {'lab': 'google', 'totalTokens': 535317191150, 'growthIndex': 91.57733664835702, 'share': 0.2719241306146701}]"
2026-06-23,2184482419096,124.83133178186657,"[{'lab': 'anthropic', 'totalTokens': 1178752194518, 'growthIndex': 138.5604726215846, 'share': 0.5396025091407239}, {'lab': 'openai', 'totalTokens': 468686133161, 'growthIndex': 148.93960509624594, 'share': 0.21455248578057015}, {'lab': 'google', 'totalTokens': 537044091417, 'growthIndex': 91.87275949246457, 'share': 0.24584500507870596}]"
2026-06-24,2164201890863,123.67240950058182,"[{'lab': 'anthropic', 'totalTokens': 1192209040764, 'growthIndex': 140.14230380248364, 'share': 0.5508769980274776}, {'lab': 'openai', 'totalTokens': 430692526654, 'growthIndex': 136.8659542050409, 'share': 0.19900755492005254}, {'lab': 'google', 'totalTokens': 541300323445, 'growthIndex': 92.6008780728605, 'share': 0.25011544705246996}]"
2026-06-25,1944955995441,111.14369474692313,"[{'lab': 'anthropic', 'totalTokens': 998903342359, 'growthIndex': 117.4195219862473, 'share': 0.5135866028334015}, {'lab': 'openai', 'totalTokens': 423403503637, 'growthIndex': 134.54964029498865, 'share': 0.217693101864239}, {'lab': 'google', 'totalTokens': 522649149445, 'growthIndex': 89.41019996925654, 'share': 0.26872029530235947}]"
2026-06-26,1915617209860,109.46714214804507,"[{'lab': 'anthropic', 'totalTokens': 920254337765, 'growthIndex': 108.17445478854172, 'share': 0.48039573513345885}, {'lab': 'openai', 'totalTokens': 487799679500, 'growthIndex': 155.01352929050313, 'share': 0.25464360885317483}, {'lab': 'google', 'totalTokens': 507563192595, 'growthIndex': 86.82942772439895, 'share': 0.2649606560133663}]"
2026-06-27,1277942791161,73.02750489870286,"[{'lab': 'anthropic', 'totalTokens': 586701853311, 'growthIndex': 68.96588312692245, 'share': 0.4590986837352761}, {'lab': 'openai', 'totalTokens': 301207052579, 'growthIndex': 95.71791501650819, 'share': 0.23569682043853935}, {'lab': 'google', 'totalTokens': 390033885271, 'growthIndex': 66.72355195430384, 'share': 0.30520449582618453}]"
2026-06-28,1350814283718,77.19171578238996,"[{'lab': 'anthropic', 'totalTokens': 606946548309, 'growthIndex': 71.34561528780276, 'share': 0.4493190186281062}, {'lab': 'openai', 'totalTokens': 349446429117, 'growthIndex': 111.04747820030047, 'share': 0.2586931699857206}, {'lab': 'google', 'totalTokens': 394421306292, 'growthIndex': 67.4741131888404, 'share': 0.2919878113861732}]"
2026-06-29,1838355677036,105.05206425425293,"[{'lab': 'anthropic', 'totalTokens': 925208193902, 'growthIndex': 108.75677281164644, 'share': 0.5032802985076984}, {'lab': 'openai', 'totalTokens': 393429405017, 'growthIndex': 125.02443761517057, 'share': 0.21401158107300014}, {'lab': 'google', 'totalTokens': 519718078117, 'growthIndex': 88.90877817637899, 'share': 0.2827081204193015}]"
